artifact,path
Confounding pitfall dataset,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/datasets/17_confounding_pitfall_data.csv
Nonlinear nuisance dataset,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/datasets/17_nonlinear_nuisance_data.csv
Pitfall map,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/17_pitfall_map.csv
Control-set scenarios,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/17_control_set_scenarios.csv
Control-set diagnostics,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/17_control_set_diagnostics.csv
Residual treatment variation,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/17_residual_treatment_variation.csv
Nuisance learner comparison,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/17_nuisance_learner_comparison.csv
Sample-split repetitions,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/17_sample_split_repetitions.csv
Diagnostic scorecard,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/17_diagnostic_scorecard.csv
Control-set DAG,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/17_control_set_pitfall_dag.png
Control-set estimate plot,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/17_control_set_estimates.png
Residualized treatment plot,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/17_residualized_treatment_distributions.png
Nuisance learner plot,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/17_nuisance_learner_diagnostics.png
Sample-split plot,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/17_sample_split_stability.png
Scorecard plot,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/17_diagnostic_scorecard.png
Reporting template,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/reports/17_diagnostics_reporting_template.md
