engagement_z,prior_value_z,ci_lower,effect,ci_upper,oracle_tau_profile
-2.0,0.8,-0.19414792725406715,0.4045649840165523,1.0032778952871717,0.29
-1.9,0.8,-0.15533039705290907,0.4133638178297864,0.9820580327124818,0.298
-1.8,0.8,-0.11694210738515831,0.42216265164302047,0.9612674106711993,0.306
-1.7,0.8,-0.07905777263063035,0.4309614854562546,0.9409807435431397,0.314
-1.6,0.8,-0.04176872168135909,0.43976031926948866,0.9212893602203365,0.32199999999999995
-1.5,0.8,-0.005187099998743894,0.44855915308272276,0.9023054061641894,0.32999999999999996
-1.4,0.8,0.030548921459457423,0.45735798689595686,0.8841670523324563,0.338
-1.2999999999999998,0.8,0.06526884915233999,0.46615682070919096,0.8670447922660419,0.34600000000000003
-1.2,0.8,0.09876258655594106,0.474955654522425,0.8511487224889089,0.354
-1.1,0.8,0.13077268387545,0.48375448833565904,0.8367362927958681,0.362
-1.0,0.8,0.16098740800689998,0.49255332214889314,0.8241192362908862,0.37
-0.8999999999999999,0.8,0.1890372062582643,0.5013521559621272,0.8136671056659901,0.378
-0.7999999999999998,0.8,0.21449887758416125,0.5101509897753613,0.8058031019665615,0.386
-0.7,0.8,0.2369133253749952,0.5189498235885954,0.8009863218021956,0.394
-0.5999999999999999,0.8,0.2558224312798482,0.5277486574018295,0.7996748835238108,0.402
-0.5,0.8,0.2708257762044603,0.5365474912150636,0.8022692062256669,0.41000000000000003
-0.3999999999999999,0.8,0.2816475225086611,0.5453463250282977,0.8090451275479343,0.41800000000000004
-0.2999999999999998,0.8,0.2881922338354606,0.5541451588415318,0.8200980838476031,0.42600000000000005
-0.19999999999999996,0.8,0.2905660760844972,0.5629439926547658,0.8353219092250344,0.434
-0.09999999999999987,0.8,0.2890532939452762,0.5717428264679999,0.8544323589907237,0.442
0.0,0.8,0.2840591390298918,0.580541660281234,0.8770241815325761,0.45
0.10000000000000009,0.8,0.276043079065123,0.5893404940944681,0.9026379091238133,0.458
0.20000000000000018,0.8,0.26546301921189586,0.5981393279077022,0.9308156366035085,0.466
0.30000000000000027,0.8,0.25273955399111225,0.6069381617209363,0.9611367694507603,0.47400000000000003
0.40000000000000036,0.8,0.23823911167930045,0.6157369955341703,0.9932348793890401,0.48200000000000004
0.5,0.8,0.22227034218880615,0.6245358293474044,1.0268013165060026,0.49
0.6000000000000001,0.8,0.4500823350413187,0.8559764824463038,1.2618706298512887,0.8180000000000001
0.7000000000000002,0.8,0.4647629768837762,0.8647753162595379,1.2647876556352995,0.8260000000000001
0.8000000000000003,0.8,0.4766679197676784,0.8735741500727718,1.2704803803778653,0.8340000000000001
0.9000000000000004,0.8,0.48573194856059876,0.8823729838860059,1.279014019211413,0.8420000000000001
1.0,0.8,0.4919494017455483,0.89117181769924,1.2903942336529317,0.8500000000000001
1.1,0.8,0.4953747603535614,0.8999706515124741,1.3045665426713868,0.8580000000000001
1.2000000000000002,0.8,0.49611708422724426,0.9087694853257082,1.3214218864241722,0.8660000000000001
1.3000000000000003,0.8,0.4943295633888798,0.9175683191389423,1.3408070748890049,0.8740000000000001
1.4000000000000004,0.8,0.4901963654706267,0.9263671529521763,1.362537940433726,0.8820000000000001
1.5,0.8,0.48391911577064123,0.9351659867654104,1.3864128577601795,0.89
1.6,0.8,0.47570485799402934,0.9439648205786445,1.4122247831632597,0.898
1.7000000000000002,0.8,0.4657565519962347,0.9527636543918786,1.4397707567875224,0.906
1.8000000000000003,0.8,0.45426640675490315,0.9615624882051128,1.4688585696553225,0.914
1.9000000000000004,0.8,0.44141181405699625,0.9703613220183469,1.4993108299796976,0.922
2.0,0.8,0.42735337720589883,0.979160155831581,1.5309669344572632,0.93
