artifact_type,file_name,relative_path
dataset,06_synthetic_iivm_data.csv,notebooks/tutorials/doubleml/outputs/datasets/06_synthetic_iivm_data.csv
table,06_all_estimator_comparison.csv,notebooks/tutorials/doubleml/outputs/tables/06_all_estimator_comparison.csv
table,06_artifact_manifest.csv,notebooks/tutorials/doubleml/outputs/tables/06_artifact_manifest.csv
table,06_baseline_estimates.csv,notebooks/tutorials/doubleml/outputs/tables/06_baseline_estimates.csv
table,06_compliance_type_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_compliance_type_summary.csv
table,06_data_audit.csv,notebooks/tutorials/doubleml/outputs/tables/06_data_audit.csv
table,06_design_correlation_matrix.csv,notebooks/tutorials/doubleml/outputs/tables/06_design_correlation_matrix.csv
table,06_doubleml_first_stage_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_doubleml_first_stage_summary.csv
table,06_doubleml_iivm_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_doubleml_iivm_summary.csv
table,06_doubleml_nuisance_losses.csv,notebooks/tutorials/doubleml/outputs/tables/06_doubleml_nuisance_losses.csv
table,06_doublemldata_backend_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_doublemldata_backend_summary.csv
table,06_exclusion_violation_stress_test.csv,notebooks/tutorials/doubleml/outputs/tables/06_exclusion_violation_stress_test.csv
table,06_field_dictionary.csv,notebooks/tutorials/doubleml/outputs/tables/06_field_dictionary.csv
table,06_hgb_bootstrap_confidence_interval.csv,notebooks/tutorials/doubleml/outputs/tables/06_hgb_bootstrap_confidence_interval.csv
table,06_hgb_nuisance_quality_against_truth.csv,notebooks/tutorials/doubleml/outputs/tables/06_hgb_nuisance_quality_against_truth.csv
table,06_iivm_reporting_checklist.csv,notebooks/tutorials/doubleml/outputs/tables/06_iivm_reporting_checklist.csv
table,06_instrument_overlap_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_instrument_overlap_summary.csv
table,06_irm_vs_iivm_comparison.csv,notebooks/tutorials/doubleml/outputs/tables/06_irm_vs_iivm_comparison.csv
table,06_learner_catalog.csv,notebooks/tutorials/doubleml/outputs/tables/06_learner_catalog.csv
table,06_manual_crossfit_iivm_estimate.csv,notebooks/tutorials/doubleml/outputs/tables/06_manual_crossfit_iivm_estimate.csv
table,06_manual_first_stage_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_manual_first_stage_summary.csv
table,06_manual_nuisance_quality.csv,notebooks/tutorials/doubleml/outputs/tables/06_manual_nuisance_quality.csv
table,06_orthogonal_score_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_orthogonal_score_summary.csv
table,06_package_versions.csv,notebooks/tutorials/doubleml/outputs/tables/06_package_versions.csv
table,06_repeated_sample_split_stability.csv,notebooks/tutorials/doubleml/outputs/tables/06_repeated_sample_split_stability.csv
table,06_subgroup_assumption_comparison.csv,notebooks/tutorials/doubleml/outputs/tables/06_subgroup_assumption_comparison.csv
table,06_target_summary.csv,notebooks/tutorials/doubleml/outputs/tables/06_target_summary.csv
table,06_weak_instrument_stress_test.csv,notebooks/tutorials/doubleml/outputs/tables/06_weak_instrument_stress_test.csv
figure,06_baseline_estimates.png,notebooks/tutorials/doubleml/outputs/figures/06_baseline_estimates.png
figure,06_compliance_and_take_up.png,notebooks/tutorials/doubleml/outputs/figures/06_compliance_and_take_up.png
figure,06_design_correlation_matrix.png,notebooks/tutorials/doubleml/outputs/figures/06_design_correlation_matrix.png
figure,06_doubleml_nuisance_prediction_quality.png,notebooks/tutorials/doubleml/outputs/figures/06_doubleml_nuisance_prediction_quality.png
figure,06_exclusion_violation_stress_test.png,notebooks/tutorials/doubleml/outputs/figures/06_exclusion_violation_stress_test.png
figure,06_first_stage_and_instrument_overlap.png,notebooks/tutorials/doubleml/outputs/figures/06_first_stage_and_instrument_overlap.png
figure,06_iivm_design_dag.png,notebooks/tutorials/doubleml/outputs/figures/06_iivm_design_dag.png
figure,06_iivm_estimate_comparison.png,notebooks/tutorials/doubleml/outputs/figures/06_iivm_estimate_comparison.png
figure,06_instrument_overlap.png,notebooks/tutorials/doubleml/outputs/figures/06_instrument_overlap.png
figure,06_manual_first_stage_distribution.png,notebooks/tutorials/doubleml/outputs/figures/06_manual_first_stage_distribution.png
figure,06_orthogonal_score_distribution.png,notebooks/tutorials/doubleml/outputs/figures/06_orthogonal_score_distribution.png
figure,06_repeated_split_stability.png,notebooks/tutorials/doubleml/outputs/figures/06_repeated_split_stability.png
figure,06_weak_instrument_stress_test.png,notebooks/tutorials/doubleml/outputs/figures/06_weak_instrument_stress_test.png
report,06_iivm_report_template.md,notebooks/tutorials/doubleml/outputs/reports/06_iivm_report_template.md
