model,learner,mean_loss,min_loss,max_loss
Linear nuisance IRM ATE,ml_g0,1.3113905565729378,1.3113905565729378,1.3113905565729378
Linear nuisance IRM ATE,ml_g1,1.3147224090448535,1.3147224090448535,1.3147224090448535
Linear nuisance IRM ATE,ml_m,0.4561511869217863,0.4561511869217863,0.4561511869217863
Linear nuisance IRM ATTE,ml_g0,1.3191770135158087,1.3191770135158087,1.3191770135158087
Linear nuisance IRM ATTE,ml_g1,1.310912429244595,1.310912429244595,1.310912429244595
Linear nuisance IRM ATTE,ml_m,0.45587753623364274,0.45587753623364274,0.45587753623364274
Gradient boosting nuisance IRM ATE,ml_g0,1.0915458902601567,1.0915458902601567,1.0915458902601567
Gradient boosting nuisance IRM ATE,ml_g1,1.0648440161429824,1.0648440161429824,1.0648440161429824
Gradient boosting nuisance IRM ATE,ml_m,0.46906492204403927,0.46906492204403927,0.46906492204403927
Gradient boosting nuisance IRM ATTE,ml_g0,1.0913916490762927,1.0913916490762927,1.0913916490762927
Gradient boosting nuisance IRM ATTE,ml_g1,1.0795428618245697,1.0795428618245697,1.0795428618245697
Gradient boosting nuisance IRM ATTE,ml_m,0.46978402553236415,0.46978402553236415,0.46978402553236415
