sim_id,theta_hat,se,ci_lower,ci_upper,ci_width,covers_true
0,0.8842872838170848,0.04357091312658685,0.7988898633154511,0.9696847043187184,0.17079484100326736,True
1,0.7740985088589716,0.04558694155404455,0.6847497452477118,0.8634472724702313,0.17869752722251953,True
2,0.7550666912702184,0.055616704969158444,0.646059952591878,0.8640734299485588,0.21801347735668086,True
3,0.8607353698881276,0.05266477572962594,0.7575143062041816,0.9639564335720736,0.20644212736789203,True
4,0.8033882256083772,0.05131189180220654,0.7028187656974364,0.903957685519318,0.2011389198218816,True
5,0.8389070075285681,0.04937007797182089,0.7421434327898648,0.9356705822672713,0.19352714947740646,True
6,0.8213377188575679,0.0531123342037999,0.7172394566832653,0.9254359810318705,0.20819652434860525,True
7,0.7909939153952361,0.053884874462403524,0.6853815021374632,0.896606328653009,0.21122482651554586,True
8,0.8784555879077675,0.06349187863001313,0.7540137924821535,1.0028973833333814,0.2488835908512279,True
9,0.8762677416884282,0.0565380326576379,0.7654552339227086,0.9870802494541479,0.2216250155314392,True
10,0.7867987833057386,0.04810541458484116,0.692513903258082,0.8810836633533952,0.18856976009531312,True
11,0.835489428544749,0.05383574561096229,0.7299733060664025,0.9410055510230954,0.21103224495669282,True
12,0.7703805396165565,0.0543869232429429,0.663784128830444,0.876976950402669,0.21319282157222497,True
13,0.730638730940791,0.052136553295690405,0.6284529642031847,0.8328244976783973,0.20437153347521253,True
14,0.8798148088002886,0.05072290560398821,0.7803997406252469,0.9792298769753304,0.1988301363500835,True
15,0.8232428532703441,0.05167971078278988,0.7219524814046296,0.9245332251360585,0.20258074373142887,True
16,0.8225610575655564,0.05397540605057744,0.7167712056554993,0.9283509094756135,0.21157970382011415,True
17,0.8573257674737743,0.05251579487017827,0.7543967009087316,0.9602548340388171,0.2058581331300855,True
18,0.7894515685042256,0.050610644258927924,0.690256528522358,0.8886466084860932,0.19839007996373526,True
19,0.8017524646686669,0.05795592084996211,0.6881609471118871,0.9153439822254467,0.22718303511355953,True
20,0.809948702430702,0.057259784817873145,0.6977215864251574,0.9221758184362467,0.22445423201108938,True
21,0.891884348203136,0.048825562160280646,0.7961880048440643,0.9875806915622077,0.19139268671814347,True
22,0.7743992602844804,0.04964437536629949,0.677098072531546,0.8717004480374148,0.19460237550586879,True
23,0.803067453499483,0.06357777867023644,0.6784572970887608,0.9276776099102053,0.24922031282144452,True
24,0.7912925746235644,0.05655769335829985,0.6804415325926364,0.9021436166544924,0.221702084061856,True
25,0.7792675272426618,0.05550506082540064,0.6704796070651715,0.8880554474201521,0.21757584035498057,True
26,0.8658973871923711,0.04916188300514979,0.7695418670901057,0.9622529072946364,0.19271104020453067,True
27,0.7640105886366566,0.048176362367553086,0.6695866534901017,0.8584345237832115,0.1888478702931098,True
28,0.742902754225624,0.05367712972868351,0.6376975131639201,0.8481079952873279,0.21041048212340785,True
29,0.7829253480798627,0.05128478733720266,0.6824090119441497,0.8834416842155757,0.20103267227142596,True
