artifact,path
Synthetic HTE dataset,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/datasets/14_synthetic_hte_data.csv
Field dictionary,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/14_field_dictionary.csv
ATE estimate,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/14_ate_estimate.csv
GATE results,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/14_gate_results_with_oracle.csv
CATE/BLP summary,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/14_cate_blp_summary.csv
Engagement CATE profile,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/14_cate_engagement_profile.csv
Price sensitivity CATE profile,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/14_cate_price_sensitivity_profile.csv
Report template,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/reports/14_hte_report_template.md
GATE figure,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/14_gate_estimates.png
CATE engagement profile figure,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/14_cate_engagement_profile.png
CATE price profile figure,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/14_cate_price_sensitivity_profile.png
