artifact_type,file_name,relative_path
dataset,05_synthetic_irm_data.csv,notebooks/tutorials/doubleml/outputs/datasets/05_synthetic_irm_data.csv
table,05_all_estimator_comparison.csv,notebooks/tutorials/doubleml/outputs/tables/05_all_estimator_comparison.csv
table,05_baseline_estimates.csv,notebooks/tutorials/doubleml/outputs/tables/05_baseline_estimates.csv
table,05_data_audit.csv,notebooks/tutorials/doubleml/outputs/tables/05_data_audit.csv
table,05_design_correlation_matrix.csv,notebooks/tutorials/doubleml/outputs/tables/05_design_correlation_matrix.csv
table,05_doubleml_irm_summary.csv,notebooks/tutorials/doubleml/outputs/tables/05_doubleml_irm_summary.csv
table,05_doubleml_nuisance_losses.csv,notebooks/tutorials/doubleml/outputs/tables/05_doubleml_nuisance_losses.csv
table,05_doubleml_propensity_diagnostics.csv,notebooks/tutorials/doubleml/outputs/tables/05_doubleml_propensity_diagnostics.csv
table,05_doublemldata_backend_summary.csv,notebooks/tutorials/doubleml/outputs/tables/05_doublemldata_backend_summary.csv
table,05_field_dictionary.csv,notebooks/tutorials/doubleml/outputs/tables/05_field_dictionary.csv
table,05_hgb_bootstrap_confidence_intervals.csv,notebooks/tutorials/doubleml/outputs/tables/05_hgb_bootstrap_confidence_intervals.csv
table,05_hgb_nuisance_quality_against_truth.csv,notebooks/tutorials/doubleml/outputs/tables/05_hgb_nuisance_quality_against_truth.csv
table,05_irm_reporting_checklist.csv,notebooks/tutorials/doubleml/outputs/tables/05_irm_reporting_checklist.csv
table,05_learner_catalog.csv,notebooks/tutorials/doubleml/outputs/tables/05_learner_catalog.csv
table,05_manual_crossfit_estimates.csv,notebooks/tutorials/doubleml/outputs/tables/05_manual_crossfit_estimates.csv
table,05_manual_nuisance_quality.csv,notebooks/tutorials/doubleml/outputs/tables/05_manual_nuisance_quality.csv
table,05_manual_propensity_diagnostics.csv,notebooks/tutorials/doubleml/outputs/tables/05_manual_propensity_diagnostics.csv
table,05_orthogonal_score_summary.csv,notebooks/tutorials/doubleml/outputs/tables/05_orthogonal_score_summary.csv
table,05_overlap_stress_test.csv,notebooks/tutorials/doubleml/outputs/tables/05_overlap_stress_test.csv
table,05_package_versions.csv,notebooks/tutorials/doubleml/outputs/tables/05_package_versions.csv
table,05_propensity_clipping_sensitivity.csv,notebooks/tutorials/doubleml/outputs/tables/05_propensity_clipping_sensitivity.csv
table,05_repeated_sample_split_stability.csv,notebooks/tutorials/doubleml/outputs/tables/05_repeated_sample_split_stability.csv
table,05_target_summary.csv,notebooks/tutorials/doubleml/outputs/tables/05_target_summary.csv
figure,05_baseline_estimates.png,notebooks/tutorials/doubleml/outputs/figures/05_baseline_estimates.png
figure,05_design_correlation_matrix.png,notebooks/tutorials/doubleml/outputs/figures/05_design_correlation_matrix.png
figure,05_doubleml_nuisance_prediction_quality.png,notebooks/tutorials/doubleml/outputs/figures/05_doubleml_nuisance_prediction_quality.png
figure,05_irm_design_dag.png,notebooks/tutorials/doubleml/outputs/figures/05_irm_design_dag.png
figure,05_irm_estimate_comparison.png,notebooks/tutorials/doubleml/outputs/figures/05_irm_estimate_comparison.png
figure,05_manual_outcome_nuisance_quality.png,notebooks/tutorials/doubleml/outputs/figures/05_manual_outcome_nuisance_quality.png
figure,05_orthogonal_score_distribution.png,notebooks/tutorials/doubleml/outputs/figures/05_orthogonal_score_distribution.png
figure,05_overlap_stress_test.png,notebooks/tutorials/doubleml/outputs/figures/05_overlap_stress_test.png
figure,05_propensity_and_effect_heterogeneity.png,notebooks/tutorials/doubleml/outputs/figures/05_propensity_and_effect_heterogeneity.png
figure,05_propensity_overlap_and_weights.png,notebooks/tutorials/doubleml/outputs/figures/05_propensity_overlap_and_weights.png
figure,05_repeated_split_stability.png,notebooks/tutorials/doubleml/outputs/figures/05_repeated_split_stability.png
report,05_irm_report_template.md,notebooks/tutorials/doubleml/outputs/reports/05_irm_report_template.md
