bin_mid,mean_outcome,n
-0.9806250403643768,1.8425347066857496,78
-0.9399077037987684,1.8816228529742922,94
-0.9007664836935453,1.7835174735129726,98
-0.8613365776400889,1.757696109097136,82
-0.8184954077175034,1.6228532123663086,100
-0.7797883124891971,1.594698658899971,98
-0.7380241096897405,1.6818016608829534,91
-0.7000091364031426,1.5770584685573663,99
-0.6607691463964133,1.722690076615619,95
-0.6203974223135178,1.5721467839231738,97
-0.580823977459486,1.5271733984002498,89
-0.5402819805510639,1.6781071942059718,80
-0.5006316232905689,1.5727151582977976,101
-0.4583626854614748,1.7388065230551917,89
-0.4207975370624837,1.6658857471620006,87
-0.37954641885798773,1.761645070949085,88
-0.3417987184365817,1.821280291705334,100
-0.3015211901016669,1.849809644840426,75
-0.25750340403764316,1.811440216138063,81
-0.21855808021369919,1.8521044247784801,84
-0.17848227962349295,1.9448407376876298,89
-0.13810305901948247,2.099932761499034,92
-0.10040532755357576,1.9072449633042308,91
-0.05916950472079454,1.9877174553532615,102
-0.019027522189476186,2.0946124559696346,90
0.020156585479164067,3.355307614041674,95
0.05893368892024361,3.2839292856552422,97
0.1015577374060038,3.467062918295031,86
0.1368574549024286,3.4778277536296813,85
0.1802748298351317,3.5276396435735022,97
0.22120329983152598,3.730619760249406,91
0.2604296229013484,3.81061791210865,77
0.3014915908177457,3.910845967940592,98
0.34157359162055195,4.058409557780838,79
0.38047358357993544,4.020138076766135,80
0.42057011199601674,4.150822266431328,81
0.45959444140620137,4.075289635230747,78
0.5011840040858198,4.146356550806634,99
0.5392918402350568,4.314587665531834,90
0.5813656394602263,4.263279344562355,95
0.6199513768743775,4.45051187424831,88
0.6593766140785706,4.351079898381087,90
0.7008246234825866,4.538959681284533,100
0.7403653784588358,4.666724955935728,90
0.7795468751471654,4.677131108167205,79
0.8208497574108455,4.993759913519581,84
0.8601018953869135,4.92550183015077,105
0.9016815268327856,4.974007201006993,89
0.9409107685909274,4.9322361468845015,78
0.9813107538636027,5.1051027897190355,99
