artifact,path
Synthetic PLR dataset,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/datasets/16_synthetic_custom_score_plr_data.csv
Score variant comparison,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/16_score_variant_comparison.csv
Score diagnostics,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/16_score_diagnostics.csv
External prediction audit,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/16_external_prediction_audit.csv
Stored-model feature importance,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/16_stored_model_feature_importance.csv
Custom score checklist,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/16_custom_score_validation_checklist.csv
Report template,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/reports/16_custom_score_report_template.md
Custom score design figure,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/16_custom_score_design.png
Score estimate figure,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/16_score_variant_estimates.png
Score contribution figure,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/16_score_contribution_distributions.png
