price_sensitivity_z,ci_lower,effect,ci_upper,oracle_tau_profile
-2.0,-0.1001476834009688,0.579859764864532,1.2598672131300326,0.45
-1.9,-0.06954389338931821,0.5798938596353671,1.2293316126600524,0.45
-1.8,-0.039590324833701396,0.5799279544062022,1.1994462336461056,0.45
-1.7,-0.010385847806101745,0.5799620491770373,1.1703099461601765,0.45
-1.6,0.017952890688941014,0.5799961439478724,1.1420393972068037,0.45
-1.5,0.04528839867177792,0.5800302387187075,1.114772078765637,0.45
-1.4,0.07145909328738598,0.5800643334895426,1.0886695736916991,0.45
-1.2999999999999998,0.09627616427613789,0.5800984282603777,1.0639206922446176,0.45
-1.2,0.1195210666018246,0.5801325230312128,1.040743979460601,0.45
-1.1,0.14094448452254954,0.5801666178020479,1.0193887510815463,0.45
-1.0,0.1602679931610595,0.580200712572883,1.0001334319847064,0.45
-0.8999999999999999,0.1771899795589546,0.5802348073437181,0.9832796351284816,0.45
-0.7999999999999998,0.1913974381615977,0.5802689021145532,0.9691403660675086,0.45
-0.7,0.20258466842990508,0.5803029968853883,0.9580213253408716,0.45
-0.5999999999999999,0.21047834331177961,0.5803370916562234,0.9501958400006671,0.45
-0.5,0.2148659337916724,0.5803711864270585,0.9458764390624447,0.45
-0.3999999999999999,0.21562188850762753,0.5804052811978936,0.9451886738881596,0.45
-0.2999999999999998,0.21272481905996438,0.5804393759687287,0.948153932877493,0.45
-0.19999999999999996,0.20626055668658572,0.5804734707395638,0.9546863847925419,0.45
-0.09999999999999987,0.19641011351825316,0.580507565510399,0.9646050175025447,0.45
0.0,0.18342626381426175,0.580541660281234,0.9776570567482062,0.45
0.10000000000000009,0.1676052216034863,0.580575755052069,0.9935462885006519,0.45
0.20000000000000018,0.14925973357866568,0.5806098498229042,1.0119599660671428,0.45
0.30000000000000027,0.12869768454454522,0.5806439445937392,1.0325902046429332,0.45
0.40000000000000036,0.10620764085438922,0.5806780393645744,1.0551484378747595,0.45
0.5,0.08205079208672134,0.5807121341354095,1.0793734761840976,0.45
0.6000000000000001,-0.3226772768297015,0.19957984531142714,0.7218369674525558,0.23
0.7000000000000002,-0.30949423089629635,0.1996139400822622,0.7087221110608207,0.23
0.8000000000000003,-0.2986530747067322,0.19964803485309734,0.6979491444129269,0.23
0.9000000000000004,-0.29030878837496876,0.1996821296239324,0.6896730476228335,0.23
1.0,-0.2845899200590057,0.19971622439476755,0.6840223688485407,0.23
1.1,-0.2815894997683569,0.1997503191656026,0.6810901380995621,0.23
1.2000000000000002,-0.2813578092455434,0.19978441393643775,0.6809266371184188,0.23
1.3000000000000003,-0.28389824153717175,0.1998185087072728,0.6835352589517174,0.23
1.4000000000000004,-0.28916701566515096,0.19985260347810796,0.6888722226213668,0.23
1.5,-0.2970768006605988,0.199886698248943,0.6968501971584848,0.23
1.6,-0.30750357424221586,0.19992079301977816,0.7073451602817722,0.23
1.7000000000000002,-0.3202955284855109,0.1999548877906132,0.7202053040667373,0.23
1.8000000000000003,-0.33528266873455514,0.19998898256144837,0.7352606338574519,0.23
1.9000000000000004,-0.3522859155586934,0.20002307733228342,0.7523320702232602,0.23
2.0,-0.3711248868559879,0.20005717210311857,0.771239231062225,0.23
