artifact,path
Case study dataset,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/datasets/18_end_to_end_case_study_data.csv
Roadmap,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_case_study_roadmap.csv
Field dictionary,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_field_dictionary.csv
Data audit,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_data_audit.csv
Baseline estimates,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_baseline_estimates.csv
Main IRM estimate,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_main_irm_estimate.csv
Nuisance diagnostics,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_main_nuisance_diagnostics.csv
Propensity diagnostics,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_propensity_diagnostics.csv
Learner family comparison,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_learner_family_comparison.csv
Segment DR signal summary,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_segment_dr_signal_summary.csv
Sample split stability,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_sample_split_stability.csv
Sensitivity summary,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_sensitivity_summary.csv
Evidence scorecard,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/tables/18_evidence_scorecard.csv
Design DAG,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/18_case_study_design_dag.png
Main estimate comparison,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/18_main_estimate_comparison.png
Propensity overlap,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/18_propensity_overlap.png
Learner estimates,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/18_learner_family_estimates.png
Segment effects,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/18_segment_effects.png
Sample split stability figure,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/18_sample_split_stability.png
Sensitivity bounds,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/figures/18_sensitivity_bounds.png
Final report,/home/apex/Documents/ranking_sys/notebooks/tutorials/doubleml/outputs/reports/18_end_to_end_case_study_report.md
