bin_mid,treatment_rate,mean_outcome,n
-0.9779954599630881,0.13636363636363635,1.3928570900256139,88
-0.9403632421084209,0.16,1.5858021372595932,100
-0.8994192704482705,0.21052631578947367,1.649935429219302,95
-0.8614660326956635,0.13636363636363635,1.5412800850820525,110
-0.818089309260549,0.11214953271028037,1.6590400795655191,107
-0.7806858169421473,0.1941747572815534,1.6482945869474588,103
-0.7393720287753507,0.13978494623655913,1.5423700421186368,93
-0.6979965694745786,0.2,1.8364325669011354,95
-0.6604456214711547,0.1651376146788991,1.6723129328631765,109
-0.6197555794141693,0.2,1.7480665157862598,105
-0.5789249419318343,0.15454545454545454,1.8323682495715266,110
-0.5392448672063271,0.20952380952380953,1.8337749411198436,105
-0.501231778762008,0.15853658536585366,1.8348085618342744,82
-0.46011494354111715,0.14432989690721648,1.786163940991501,97
-0.4195195784801111,0.16304347826086957,1.9180858639574594,92
-0.37915474064373184,0.308411214953271,1.9561175691988104,107
-0.33897584427482724,0.17105263157894737,1.9675209433769592,76
-0.2995283825215178,0.18888888888888888,1.973976339935941,90
-0.2600299202214434,0.12745098039215685,2.0337262772470863,102
-0.2187864549900642,0.1834862385321101,1.8661147431349594,109
-0.18047999037445342,0.25196850393700787,2.143172947671414,127
-0.14033228177597543,0.19811320754716982,2.0985651583095204,106
-0.10230758053388532,0.22641509433962265,2.163064117140216,106
-0.060087540603493944,0.2159090909090909,2.234093361043919,88
-0.020195396174042184,0.1978021978021978,2.399518135753787,91
0.018878679221738415,0.7008547008547008,2.7458680094037984,117
0.058902585653981814,0.8141592920353983,2.9495580563588497,113
0.10073576125743616,0.7954545454545454,3.0397369028156946,88
0.13856767616077917,0.7191011235955056,2.9895942741103836,89
0.18071789850968434,0.7938144329896907,3.1480335614397044,97
0.22129799947335818,0.7843137254901961,3.069329951329454,102
0.2600139985327637,0.7377049180327869,3.2849679267610017,122
0.29960302956396206,0.7326732673267327,3.1800896874888522,101
0.3403165610335339,0.7195121951219512,3.3519406585626332,82
0.37886441930997344,0.7788461538461539,3.35040923949293,104
0.4205024114266186,0.8454545454545455,3.502920420721047,110
0.46128130193760764,0.8095238095238095,3.5781730862611725,105
0.5001902653331534,0.7752808988764045,3.597915519633764,89
0.5395000359297677,0.8137254901960784,3.652901637281,102
0.5788842928024026,0.8297872340425532,3.775471323305933,94
0.6183776560415604,0.7831325301204819,3.755011414599014,83
0.6607967808299066,0.8285714285714286,3.854536818591259,105
0.7008278701288821,0.826530612244898,3.9573720679869986,98
0.7407837016255855,0.8155339805825242,4.135837122786526,103
0.7804066727777434,0.8333333333333334,4.177970105910358,102
0.8205508194494922,0.8076923076923077,4.257286794951697,104
0.8604356934174021,0.85,4.245124209500711,100
0.900737877256893,0.79,4.42622650245061,100
0.9405223746428009,0.84375,4.491529698086767,96
0.980264411259094,0.7920792079207921,4.386630296243464,101
