column,weekly_value,feature_exposure,encouragement,true_instrument_propensity,true_p_complier,true_tau,latent_compliance_factor,engagement_score,need_intensity,content_fit,recent_activity,price_sensitivity,tenure_signal,novelty_appetite,seasonality_signal
weekly_value,1.0,0.47330305838675224,0.29337384112452597,0.4484629667309085,0.21158642968895378,0.3023070159105729,0.2673722655596294,0.365534681533723,0.10203457162607428,0.0064858383765335256,0.002565428835201524,-0.31256203887896084,-0.004874844156042817,0.02342694173774252,-0.00793842370343696
feature_exposure,0.47330305838675224,1.0,0.5104596290078992,0.2475412346034903,0.14462214298783685,0.1720672174526276,0.34947165908480254,0.20905952290515015,0.08409590488588847,0.05048047253218782,0.0025497569852100505,-0.10724384399558072,-0.027358728602625226,0.07062970595593812,0.04281218227687621
encouragement,0.29337384112452597,0.5104596290078992,1.0,0.3166793762879132,0.04925733093022915,0.10293697901249207,0.03306036972845148,0.25315932561109444,-0.0021103584466991357,0.08879793798200238,-0.01048169861792112,-0.1288543825091082,-0.025405645190844532,0.001388131222657059,0.09370659828004944
true_instrument_propensity,0.4484629667309085,0.2475412346034903,0.3166793762879132,1.0,0.19694912413155594,0.36624111634086715,0.06736837558095723,0.7825272536216151,0.005980067761605242,0.1990178959602869,-0.030635092224792566,-0.4919140827087251,0.0015578431168667686,0.0027196307721235324,0.2741150687954532
true_p_complier,0.21158642968895378,0.14462214298783685,0.04925733093022915,0.19694912413155594,1.0,0.9225896013455184,0.05661141764239696,-0.0018344799173059178,0.736412204742498,-0.012299197723048225,-0.007960203680482392,-0.4062260087517503,-0.009826615434956627,0.4998038970923528,-0.018736197489118922
true_tau,0.3023070159105729,0.1720672174526276,0.10293697901249207,0.36624111634086715,0.9225896013455184,1.0,0.06325908189223282,0.1632923833150314,0.7998749688127403,-0.01409107443551807,-0.0142473723161433,-0.4886733421765775,-0.008886077489196174,0.2760834481222281,-0.023546753572766397
latent_compliance_factor,0.2673722655596294,0.34947165908480254,0.03306036972845148,0.06736837558095723,0.05661141764239696,0.06325908189223282,1.0,0.06648201932411042,0.04493188538802758,-0.0014968486036085421,-0.017235473632765286,-0.016896749893667625,-0.016514431222144674,0.024662805984853584,0.01880344955795619
engagement_score,0.365534681533723,0.20905952290515015,0.25315932561109444,0.7825272536216151,-0.0018344799173059178,0.1632923833150314,0.06648201932411042,1.0,0.009900625236085887,-0.014309431699306817,-0.019455623957609455,0.00315740659612858,-0.006013487258711415,-0.015347847173561748,-0.011639728461138345
need_intensity,0.10203457162607428,0.08409590488588847,-0.0021103584466991357,0.005980067761605242,0.736412204742498,0.7998749688127403,0.04493188538802758,0.009900625236085887,1.0,-0.0007219210044770297,0.0010768124809812712,-0.005011482513781469,-0.022597691015958588,0.015108112011560908,-0.018212633646033642
content_fit,0.0064858383765335256,0.05048047253218782,0.08879793798200238,0.1990178959602869,-0.012299197723048225,-0.01409107443551807,-0.0014968486036085421,-0.014309431699306817,-0.0007219210044770297,1.0,0.004442995386452368,0.017067106277589415,-0.02509428086586663,-0.001982747732170916,0.012285649286350377
recent_activity,0.002565428835201524,0.0025497569852100505,-0.01048169861792112,-0.030635092224792566,-0.007960203680482392,-0.0142473723161433,-0.017235473632765286,-0.019455623957609455,0.0010768124809812712,0.004442995386452368,1.0,0.03358817386877297,0.0004989314905130307,0.012831847341284994,0.000886711679471724
price_sensitivity,-0.31256203887896084,-0.10724384399558072,-0.1288543825091082,-0.4919140827087251,-0.4062260087517503,-0.4886733421765775,-0.016896749893667625,0.00315740659612858,-0.005011482513781469,0.017067106277589415,0.03358817386877297,1.0,-0.01772844850052176,-0.02676085304260014,0.011277739887172109
tenure_signal,-0.004874844156042817,-0.027358728602625226,-0.025405645190844532,0.0015578431168667686,-0.009826615434956627,-0.008886077489196174,-0.016514431222144674,-0.006013487258711415,-0.022597691015958588,-0.02509428086586663,0.0004989314905130307,-0.01772844850052176,1.0,0.005905356159786373,0.014890201722661044
novelty_appetite,0.02342694173774252,0.07062970595593812,0.001388131222657059,0.0027196307721235324,0.4998038970923528,0.2760834481222281,0.024662805984853584,-0.015347847173561748,0.015108112011560908,-0.001982747732170916,0.012831847341284994,-0.02676085304260014,0.005905356159786373,1.0,-0.00016984599422151413
seasonality_signal,-0.00793842370343696,0.04281218227687621,0.09370659828004944,0.2741150687954532,-0.018736197489118922,-0.023546753572766397,0.01880344955795619,-0.011639728461138345,-0.018212633646033642,0.012285649286350377,0.000886711679471724,0.011277739887172109,0.014890201722661044,-0.00016984599422151413,1.0
