column,missing_rate,mean,std,min,p05,median,p95,max,n_unique
weekly_value,0.0,1.4304325087983538,4.539449736545194,-13.456512274573132,-5.672828895284972,1.3762305854244081,9.125022084208961,19.89715072421867,3000
exposure_intensity,0.0,0.3794961171616116,1.6214670586468056,-4.835908333610041,-2.230474510527944,0.38908393347139136,3.092460240131758,7.074104408855543,3000
engagement_score,0.0,-0.0029312224790764793,1.0146481244583962,-3.659391671813566,-1.6849264888959228,0.006120134549695596,1.604898442217706,4.013439406502922,3000
need_intensity,0.0,-0.01874070031934189,1.0063927660042922,-3.484636649423099,-1.6698519969120558,-0.01932689899242626,1.662891546939672,3.15090813353985,3000
content_fit,0.0,0.012324713694235247,0.9842242915376486,-3.9877157495211417,-1.6009818087111545,0.024807164974048536,1.5928802238352224,3.600336841717193,3000
recent_activity,0.0,-0.0014870257002515051,1.003649683623954,-3.5738642530150004,-1.600295617439302,0.017822390555726896,1.671128224201047,3.6533083892956713,3000
price_sensitivity,0.0,-0.0016994756975667626,0.991456894935322,-3.747413858130894,-1.6761080950240397,0.02696338885851269,1.5910782285736766,3.4175506819983057,3000
tenure_signal,0.0,0.022646613454193623,1.021024991856182,-3.5867474940522923,-1.6703508778956089,0.03543573757919212,1.7063817475303942,3.6675109666695973,3000
novelty_appetite,0.0,-0.00014222731404348228,0.9763619488355969,-4.044649923292422,-1.571102504162669,-0.02095252535410434,1.6130751738337548,3.2309774516823353,3000
seasonality_signal,0.0,0.006351333342690663,1.0116683150517964,-3.2723168145595176,-1.633538396187087,0.013725574023390405,1.6781339885790527,3.620950997266241,3000
