column,missing_rate,mean,std,min,p05,median,p95,max,n_unique
weekly_value,0.0,1.2573996687538764,1.7134782264036326,-3.970586032820573,-1.3566580016740504,1.1578317227519639,4.236847378114497,8.540294326645837,4000
feature_exposure,0.0,0.45925,0.4983989746021466,0.0,0.0,0.0,1.0,1.0,2
true_propensity,0.0,0.469062537133423,0.2088739760518056,0.08,0.1411225082439761,0.4643284172307859,0.8198513935165397,0.92,3932
true_tau,0.0,0.996434846104768,0.3793931788835845,-0.43415315297606805,0.37658598341211036,0.9965085806819447,1.6192260429941436,2.2204118661280963,4000
engagement_score,0.0,-0.01713845853217015,1.0045857633646031,-3.659391671813566,-1.6851781830131076,-0.013642768134337305,1.577028731174778,4.013439406502922,4000
need_intensity,0.0,-0.00821736171816585,1.008046986671791,-3.635158976672819,-1.6575377631723982,-0.003895892649390124,1.6587982062831936,3.527215669215922,4000
content_fit,0.0,0.011039108858043052,0.9919303314349547,-3.9877157495211417,-1.6283964796549317,0.014777783686572597,1.6314397775424236,3.600336841717193,4000
recent_activity,0.0,-0.0010822435110015025,0.9981631444416951,-3.5738642530150004,-1.5946123871182707,0.004865681640160529,1.6734883110492307,3.6533083892956713,4000
price_sensitivity,0.0,-0.014796761466157956,0.9916801288356304,-3.747413858130894,-1.6735460427219706,0.006007583383894523,1.5962166642815625,3.4175506819983057,4000
tenure_signal,0.0,0.033065633179356735,1.0143817770480845,-4.012687576597935,-1.662612995814883,0.04668732173884916,1.7040323384867604,3.6675109666695973,4000
novelty_appetite,0.0,-0.015650846932892606,0.9813619640292824,-4.044649923292422,-1.5933139725376257,-0.04828446851848428,1.6242975137813072,3.2309774516823353,4000
seasonality_signal,0.0,0.007699423034834107,1.0178117851549833,-3.372558681608518,-1.640317410262155,0.013725574023390405,1.687672876178438,3.620950997266241,4000
