artifact_type,path,size_kb
datasets,datasets/00_synthetic_plr_data.csv,139.51
figures,figures/00_cross_fitting_preview.png,42.16
figures,figures/00_doubleml_workflow.png,68.37
figures,figures/00_naive_vs_doubleml_estimates.png,59.88
figures,figures/00_plr_nuisance_prediction_scatter.png,283.01
figures,figures/00_synthetic_plr_correlation_matrix.png,95.98
reports,reports/00_doubleml_analysis_template.md,1.17
tables,tables/00_artifact_manifest.csv,1.22
tables,tables/00_core_class_signatures.csv,3.91
tables,tables/00_cross_fitting_fold_sizes.csv,0.11
tables,tables/00_dataset_fetch_functions.csv,0.32
tables,tables/00_model_family_map.csv,1.39
tables,tables/00_naive_vs_doubleml_estimates.csv,0.29
tables,tables/00_package_versions.csv,0.27
tables,tables/00_plr_nuisance_losses.csv,0.17
tables,tables/00_plr_nuisance_prediction_quality.csv,0.14
tables,tables/00_plr_smoke_test_summary.csv,0.19
tables,tables/00_responsibility_table.csv,0.83
tables,tables/00_starter_report_checklist.csv,0.86
tables,tables/00_synthetic_plr_correlation_matrix.csv,0.91
tables,tables/00_synthetic_plr_data_audit.csv,0.61
tables,tables/00_synthetic_plr_variable_dictionary.csv,0.49
tables,tables/00_theory_glossary.csv,1.0
tables,tables/00_tutorial_roadmap.csv,2.11
