boot_id,rep_id,max_abs_t
0,1,0.5587250476921299
0,2,2.391409740156624
0,3,2.2821078424461643
1,1,2.4153857930036993
1,2,0.29226402219058845
1,3,1.6519057100181473
2,1,1.8863395861428334
2,2,1.253407030315611
2,3,1.1655211290393916
3,1,1.5661776773816192
3,2,0.5963628075110462
3,3,1.3703090417920314
4,1,0.9349698478417624
4,2,2.0029552054876216
4,3,1.297008938668152
5,1,1.9159546238714285
5,2,1.389485696200724
5,3,2.239069837535485
6,1,1.6782150761422279
6,2,1.1484657194204686
6,3,1.7941573548118845
7,1,0.5345412334062913
7,2,1.5046233681401897
7,3,1.4224808374491613
8,1,2.228396797314802
8,2,1.8486711874541424
8,3,1.6522912630337576
9,1,0.7984857069190524
9,2,1.1571000903721624
9,3,0.7902930553507521
10,1,1.7581408330789174
10,2,1.9316400890067236
10,3,1.0442259465830552
11,1,1.7225436300197638
11,2,0.9386637996129384
11,3,1.8597359035519698
12,1,1.6708814037258817
12,2,0.5667419675612944
12,3,0.527508540478787
13,1,0.43774980986940637
13,2,1.841531708846941
13,3,1.0193860013976568
14,1,1.343589263764036
14,2,0.9376973377201865
14,3,1.2667054237572282
15,1,1.6268847810090588
15,2,1.3452853679371712
15,3,1.1734512996164292
16,1,1.3129709181090805
16,2,2.2798133979982333
16,3,0.8069949318918526
17,1,0.5334954320024101
17,2,1.82312216166846
17,3,1.211143318105448
18,1,1.1425769932231495
18,2,0.4116610261822171
18,3,1.1572386250439153
19,1,0.8395882115068499
19,2,0.17276095867386287
19,3,1.5458331635035871
20,1,3.0464112633320157
20,2,1.4529260806268143
20,3,1.2563423786927448
21,1,1.7561935745443993
21,2,0.6897227413133301
21,3,0.9091451138202167
22,1,0.9424878594228198
22,2,2.3538365391222196
22,3,1.3950121564974431
23,1,1.1220609346770083
23,2,1.4369486030459526
23,3,2.238252529736739
24,1,1.8169887411366648
24,2,0.5370908706425228
24,3,0.7714345208302457
25,1,1.0970779615356152
25,2,1.3697624741117802
25,3,0.5130408092326034
26,1,0.7224911279360345
26,2,0.8917357987091155
26,3,1.659779625312142
27,1,0.8185120027339957
27,2,1.899979911698232
27,3,1.0307645491450599
28,1,1.526804211568273
28,2,0.26648541559060795
28,3,1.7634615141353704
29,1,1.2242219176838236
29,2,1.1870313909294696
29,3,0.4923362586414318
30,1,0.9885611965851862
30,2,0.7402032897067694
30,3,1.9935860337834184
31,1,1.3666857434067197
31,2,1.5647548345468896
31,3,1.9073891637157154
32,1,1.0390883027455207
32,2,1.3124251797197755
32,3,2.2990919916647714
33,1,1.2184301351115017
33,2,0.8490743035507426
33,3,1.9332357175889805
34,1,1.067950099076179
34,2,1.8507018719612767
34,3,1.761097592023068
35,1,1.191939580658007
