column,missing_rate,mean,std,min,p05,median,p95,max,n_unique
weekly_value,0.0,0.8907659289422212,1.5716021022059263,-3.9061673877370957,-1.515031957984069,0.7909344174007511,3.63775407762633,8.031673021107185,5000
feature_exposure,0.0,0.3924,0.48833383457098006,0.0,0.0,0.0,1.0,1.0,2
encouragement,0.0,0.4626,0.49864914538585026,0.0,0.0,0.0,1.0,1.0,2
true_instrument_propensity,0.0,0.47837964512677134,0.15735573097774472,0.08,0.21842047179224075,0.47584008410064726,0.7411123900223705,0.8896783486756686,5000
true_p_complier,0.0,0.4477741992267159,0.12523367874587366,0.15,0.2402544919757806,0.4490455380690651,0.6546330670436267,0.7,4903
true_tau,0.0,1.0205354805473905,0.31549999168178067,-0.17611932488464005,0.5075691360689695,1.024176329874079,1.5350498035237752,2.0547971216788032,5000
engagement_score,0.0,-0.008521290003156207,1.0063505984799919,-3.659391671813566,-1.686316032654628,-0.007878903230560537,1.622752081999799,4.013439406502922,5000
need_intensity,0.0,-0.009919143653969575,0.9960675155154572,-3.635158976672819,-1.614871868775684,-0.0076943233999140735,1.6457622470534614,3.527215669215922,5000
content_fit,0.0,0.008052803429029495,0.9931642876045066,-3.9877157495211417,-1.6275723129234922,0.010407904194446541,1.6223897784178756,3.600336841717193,5000
recent_activity,0.0,-0.008281660998880754,0.9938044071968724,-3.5738642530150004,-1.605342228948163,-0.0005706886435761786,1.6486309679844118,3.6533083892956713,5000
price_sensitivity,0.0,-0.010295460626080697,1.0032765387434042,-3.747413858130894,-1.6788945667664386,0.0023221068882568127,1.6121659215004656,3.5660844446013185,5000
tenure_signal,0.0,0.02989783063939745,1.0014215984143653,-4.012687576597935,-1.6346408144356812,0.03970846818906246,1.6931457207052187,3.6675109666695973,5000
novelty_appetite,0.0,-0.0032167065051380414,0.9812032579745805,-4.044649923292422,-1.5724305827285026,-0.03973160373704274,1.6435802304313998,3.2690308396203087,5000
seasonality_signal,0.0,0.011097030597181229,1.0084786618074904,-3.372558681608518,-1.6183565339866202,0.01558458804148537,1.6781339885790556,3.620950997266241,5000
