column,missing_rate,mean,std,min,p05,median,p95,max,n_unique
weekly_value,0.0,1.1559059950551291,5.0149305841900516,-15.61449220475617,-6.787211139879657,1.1493463227092198,9.470862125251884,20.526080190835756,2500
exposure_intensity,0.0,0.2760295303474528,2.026332790081541,-6.580363986974142,-2.975171903256978,0.2597398466978399,3.6664178778384175,8.468528903478193,2500
encouragement_score,0.0,-0.004724651326708236,1.2951722543777038,-4.729370325222853,-2.1437689229285337,0.01681813978689307,2.0412439602066623,4.782438821327295,2500
engagement_score,0.0,-0.012303047228755462,1.0089450138236749,-3.659391671813566,-1.7007311570549064,-0.0066568032091905895,1.577062194772888,3.207340763424731,2500
need_intensity,0.0,-0.013647626461782891,1.0124566457712132,-3.124263259210661,-1.7009656467880696,-0.0172780622606089,1.6998013383576374,3.15090813353985,2500
content_fit,0.0,0.014915469143449963,0.9847623599708862,-3.9877157495211417,-1.5835241127451727,0.029017090569610243,1.5880523736267849,3.600336841717193,2500
recent_activity,0.0,-0.0017636971105149158,1.0030679023513858,-3.5738642530150004,-1.606398015462841,0.01364984128612445,1.6667722282172197,3.6533083892956713,2500
price_sensitivity,0.0,-0.0014159648914931757,1.0033482395466642,-3.747413858130894,-1.6774665674887574,0.025323654902397484,1.5942927371364362,3.4175506819983057,2500
tenure_signal,0.0,0.02932043139587338,1.0285185519587117,-3.5867474940522923,-1.6779000982326806,0.051145573477876856,1.7069985857921488,3.6675109666695973,2500
novelty_appetite,0.0,-0.010284369327185499,0.982590261245104,-2.9199049125699585,-1.6307096884043384,-0.017081773043587177,1.6246364388825798,3.163086042780814,2500
seasonality_signal,0.0,-0.0010104915331499839,1.0145154513917336,-3.2723168145595176,-1.6555076318043533,0.005996629388290556,1.675807157608292,3.620950997266241,2500
