bandwidth,n_window,n_left,n_right,estimate,std_error,ci_95_lower,ci_95_upper,reduced_form_jump,first_stage_jump,estimator,covariate_adjusted,true_target,bias_vs_target
0.12,561,283,278,1.1887973867609378,0.16367836961187965,0.8679877823216537,1.509606991200222,1.1887973867609378,,Manual local linear,False,1.2,-0.011202613239062131
0.12,561,283,278,1.3462220832361733,0.12359250090245015,1.103980781467371,1.5884633850049756,1.3462220832361733,,Manual local linear + covariates,True,1.2,0.14622208323617336
0.18,835,424,411,1.239124994573486,0.13552524390264606,0.9734955165242996,1.5047544726226723,1.239124994573486,,Manual local linear,False,1.2,0.03912499457348595
0.18,835,424,411,1.3315293911068842,0.09979951364182907,1.1359223443688993,1.527136437844869,1.3315293911068842,,Manual local linear + covariates,True,1.2,0.13152939110688422
0.24,1099,548,551,1.2339161653539892,0.11733902130964534,1.0039316835870844,1.463900647120894,1.2339161653539892,,Manual local linear,False,1.2,0.033916165353989225
0.24,1099,548,551,1.295190552268825,0.08487176254774913,1.1288418976752368,1.4615392068624131,1.295190552268825,,Manual local linear + covariates,True,1.2,0.095190552268825
0.3,1335,663,672,1.2008387891548404,0.1056052832986602,0.9938524338894664,1.4078251444202143,1.2008387891548404,,Manual local linear,False,1.2,0.0008387891548404802
0.3,1335,663,672,1.267491496297899,0.07563064984863276,1.1192554225945788,1.415727570001219,1.267491496297899,,Manual local linear + covariates,True,1.2,0.06749149629789897
0.4,1777,892,885,1.1668363891749152,0.0913086721162951,0.9878713918269768,1.3458013865228535,1.1668363891749152,,Manual local linear,False,1.2,-0.03316361082508479
0.4,1777,892,885,1.2364688771873729,0.06438097887150084,1.1102821585992313,1.3626555957755144,1.2364688771873729,,Manual local linear + covariates,True,1.2,0.036468877187372906
0.55,2445,1232,1213,1.1596814485716462,0.07801017167214895,1.0067815120942343,1.3125813850490582,1.1596814485716462,,Manual local linear,False,1.2,-0.04031855142835372
0.55,2445,1232,1213,1.22705250837804,0.054280583438034644,1.1206625648394921,1.3334424519165877,1.22705250837804,,Manual local linear + covariates,True,1.2,0.027052508378039963
