column,weekly_value,exposure_intensity,encouragement_score,latent_demand_shock,true_instrument_nuisance,true_treatment_nuisance,true_outcome_nuisance,engagement_score,need_intensity,content_fit,recent_activity,price_sensitivity,tenure_signal,novelty_appetite,seasonality_signal
weekly_value,1.0,0.9349241490757789,0.40498951976026953,0.7080416035821739,0.26362923951008715,0.4179953172687322,0.45842914265301865,0.14301537066919634,0.18309588723097098,0.2204184229193326,0.1601362424069654,-0.12328834146240343,-0.12679923446101238,-0.00521723077205391,0.04733601131754396
exposure_intensity,0.9349241490757789,1.0,0.5290974197132039,0.5737026399712263,0.3526248673380757,0.5182012659993882,0.4440834357201287,0.1885157263054559,0.21897607941747216,0.2691146367580834,0.1154278509871449,-0.1495822582959919,-0.15247943639147185,-0.015026141737508976,0.12675099784593916
encouragement_score,0.40498951976026953,0.5290974197132039,1.0,0.01598946308360667,0.6440242766038755,0.43882925999098205,0.3489779809595779,0.37430204054276045,0.3480463676797937,0.014662710695711793,-0.019703126778501782,-0.2943841190158609,0.03559242618323542,-0.014872480647208341,0.2011078040087847
latent_demand_shock,0.7080416035821739,0.5737026399712263,0.01598946308360667,1.0,0.023637591035105876,0.011086170503926893,0.012819928793580163,-0.009077803077842003,0.043046195738408316,-0.004181133329991964,-0.004654028897050968,-0.0031667473169852433,-0.009905522402359743,-0.015011692375490604,0.030473423278154912
true_instrument_nuisance,0.26362923951008715,0.3526248673380757,0.6440242766038755,0.023637591035105876,1.0,0.6674857084229521,0.5373437262721616,0.594319707879457,0.5654583931004602,-0.015518174343574328,-0.03860804211409923,-0.433532969939072,0.004891589807704818,0.009773997195939294,0.29468415197720227
true_treatment_nuisance,0.4179953172687322,0.5182012659993882,0.43882925999098205,0.011086170503926893,0.6674857084229521,1.0,0.8824922117806013,0.39525020247667,0.382890389197213,0.5146474415140714,0.22846868913841334,-0.26750765816227834,-0.320139994964116,0.015889301808759256,0.21694538245200237
true_outcome_nuisance,0.45842914265301865,0.4440834357201287,0.3489779809595779,0.012819928793580163,0.5373437262721616,0.8824922117806013,1.0,0.34863215421923743,0.3359378983832167,0.46103529876464067,0.3483395279926749,-0.2352410017439668,-0.2828372984959607,0.031178773752481216,0.042471591607182856
engagement_score,0.14301537066919634,0.1885157263054559,0.37430204054276045,-0.009077803077842003,0.594319707879457,0.39525020247667,0.34863215421923743,1.0,0.02096709516632197,-0.010183200008800734,-0.022057641713116444,-0.007045607796273935,0.0005173959401529632,0.013863433065363601,-0.006767822143239401
need_intensity,0.18309588723097098,0.21897607941747216,0.3480463676797937,0.043046195738408316,0.5654583931004602,0.382890389197213,0.3359378983832167,0.02096709516632197,1.0,-0.015697612116382226,-0.013159838639188414,-0.01664747922997724,-0.02048189087655616,0.007028176610853892,-0.0101703071807766
content_fit,0.2204184229193326,0.2691146367580834,0.014662710695711793,-0.004181133329991964,-0.015518174343574328,0.5146474415140714,0.46103529876464067,-0.010183200008800734,-0.015697612116382226,1.0,0.009569900024339719,0.017003939428194344,-0.017570031403554308,-0.0030264477274125146,0.02211625925118097
recent_activity,0.1601362424069654,0.1154278509871449,-0.019703126778501782,-0.004654028897050968,-0.03860804211409923,0.22846868913841334,0.3483395279926749,-0.022057641713116444,-0.013159838639188414,0.009569900024339719,1.0,0.028758581225649463,-0.018364249036661496,0.04597000613683238,0.009569900592451578
price_sensitivity,-0.12328834146240343,-0.1495822582959919,-0.2943841190158609,-0.0031667473169852433,-0.433532969939072,-0.26750765816227834,-0.2352410017439668,-0.007045607796273935,-0.01664747922997724,0.017003939428194344,0.028758581225649463,1.0,-0.03778204015727589,-0.0005204209277646708,0.02781967609253755
tenure_signal,-0.12679923446101238,-0.15247943639147185,0.03559242618323542,-0.009905522402359743,0.004891589807704818,-0.320139994964116,-0.2828372984959607,0.0005173959401529632,-0.02048189087655616,-0.017570031403554308,-0.018364249036661496,-0.03778204015727589,1.0,-0.015012778095834832,0.007481870520526152
novelty_appetite,-0.00521723077205391,-0.015026141737508976,-0.014872480647208341,-0.015011692375490604,0.009773997195939294,0.015889301808759256,0.031178773752481216,0.013863433065363601,0.007028176610853892,-0.0030264477274125146,0.04597000613683238,-0.0005204209277646708,-0.015012778095834832,1.0,0.007047171277906882
seasonality_signal,0.04733601131754396,0.12675099784593916,0.2011078040087847,0.030473423278154912,0.29468415197720227,0.21694538245200237,0.042471591607182856,-0.006767822143239401,-0.0101703071807766,0.02211625925118097,0.009569900592451578,0.02781967609253755,0.007481870520526152,0.007047171277906882,1.0
