artifact_type,path,size_kb
datasets,datasets/01_sparse_plr_observed_data.csv,786.04
datasets,datasets/01_sparse_plr_oracle_nuisance.csv,28.44
figures,figures/01_baseline_estimates.png,51.2
figures,figures/01_cross_fitted_lasso_nuisance_predictions.png,167.06
figures,figures/01_dml1_fold_estimates.png,36.85
figures,figures/01_estimate_comparison.png,74.06
figures,figures/01_manual_cross_fitting_heatmap.png,45.81
figures,figures/01_orthogonality_perturbation.png,92.9
tables,tables/01_baseline_estimates.csv,0.22
tables,tables/01_doubleml_nuisance_losses.csv,0.18
tables,tables/01_doubleml_nuisance_prediction_quality.csv,0.14
tables,tables/01_doubleml_plr_summary.csv,0.27
tables,tables/01_estimate_comparison.csv,0.51
tables,tables/01_lasso_residualization_table.csv,0.29
tables,tables/01_manual_cross_fitting_fold_table.csv,0.11
tables,tables/01_manual_dml1_fold_estimates.csv,0.26
tables,tables/01_memorizing_learner_table.csv,0.25
tables,tables/01_orthogonality_perturbation_table.csv,0.68
tables,tables/01_package_versions.csv,0.11
tables,tables/01_reporting_checklist.csv,0.89
tables,tables/01_score_diagnostics.csv,0.16
tables,tables/01_score_pieces.csv,0.53
tables,tables/01_theory_map.csv,0.82
tables,tables/01_variable_role_table.csv,0.29
