column,weekly_value,exposure_intensity,true_treatment_nuisance,true_outcome_nuisance,engagement_score,need_intensity,content_fit,recent_activity,price_sensitivity,tenure_signal,novelty_appetite,seasonality_signal
weekly_value,1.0,0.9345736444052875,0.8804516291869025,0.8909821564503377,0.6322924317802865,0.2979611236088003,-0.0284364479925126,-0.03861203349237346,-0.021103775344979547,0.27976516643536403,0.017207238420929645,-0.08900443424743164
exposure_intensity,0.9345736444052875,1.0,0.7754983627788571,0.7656939051463717,0.5574264431379933,0.25791499035869536,-0.031021300302279387,-0.051424098458654394,-0.013868505869871772,0.25075343520777216,0.013345398939123846,0.003332815075887645
true_treatment_nuisance,0.8804516291869025,0.7754983627788571,1.0,0.9885072275984718,0.7255938320535491,0.34600067594100276,-0.03539620975383061,-0.033213724457609985,-0.03254031777317139,0.3087266653663761,0.015463346756879671,-0.0015644256225390966
true_outcome_nuisance,0.8909821564503377,0.7656939051463717,0.9885072275984718,1.0,0.7164208481829472,0.3425339179222423,-0.03410392790154985,-0.03226346283933152,-0.03147503433157815,0.30445497258338516,0.01907124104402967,-0.09943711507440249
engagement_score,0.6322924317802865,0.5574264431379933,0.7255938320535491,0.7164208481829472,1.0,0.016416377237469967,-0.02764045974216711,-0.03082152651394333,-0.004189525658477289,-0.002892537327104048,0.022531222414143126,-0.0009869955525772405
need_intensity,0.2979611236088003,0.25791499035869536,0.34600067594100276,0.3425339179222423,0.016416377237469967,1.0,-0.018405300760477746,-0.0018163334823081314,-0.015092491545881014,-0.022826852797409668,0.01892484084326989,-0.01607438363449726
content_fit,-0.0284364479925126,-0.031021300302279387,-0.03539620975383061,-0.03410392790154985,-0.02764045974216711,-0.018405300760477746,1.0,0.013393346109705878,0.02662595210982748,-0.01808046744310186,-8.733859489770863e-05,0.01660136241001677
recent_activity,-0.03861203349237346,-0.051424098458654394,-0.033213724457609985,-0.03226346283933152,-0.03082152651394333,-0.0018163334823081314,0.013393346109705878,1.0,0.04856363282689591,-0.012873208302007756,0.03328556653223189,-0.012726950020215297
price_sensitivity,-0.021103775344979547,-0.013868505869871772,-0.03254031777317139,-0.03147503433157815,-0.004189525658477289,-0.015092491545881014,0.02662595210982748,0.04856363282689591,1.0,-0.020836026451099696,0.001064589027043529,0.017068561160416076
tenure_signal,0.27976516643536403,0.25075343520777216,0.3087266653663761,0.30445497258338516,-0.002892537327104048,-0.022826852797409668,-0.01808046744310186,-0.012873208302007756,-0.020836026451099696,1.0,-0.011323751391245904,0.011264683783281246
novelty_appetite,0.017207238420929645,0.013345398939123846,0.015463346756879671,0.01907124104402967,0.022531222414143126,0.01892484084326989,-8.733859489770863e-05,0.03328556653223189,0.001064589027043529,-0.011323751391245904,1.0,0.0014309433199867182
seasonality_signal,-0.08900443424743164,0.003332815075887645,-0.0015644256225390966,-0.09943711507440249,-0.0009869955525772405,-0.01607438363449726,0.01660136241001677,-0.012726950020215297,0.017068561160416076,0.011264683783281246,0.0014309433199867182,1.0
